feature,predicted_rank
transformer.wte,1
transformer.h.23.mlp.c_proj,34
transformer.h.22.mlp.c_proj,31
transformer.h.0.attn.c_attn,155
transformer.h.21.mlp.c_proj,29
transformer.h.20.mlp.c_proj,27
transformer.h.19.mlp.c_proj,26
transformer.h.18.mlp.c_proj,24
transformer.h.17.mlp.c_proj,23
transformer.h.16.mlp.c_proj,22
transformer.h.15.mlp.c_proj,22
transformer.h.3.mlp.c_fc,21
transformer.h.4.mlp.c_fc,24
transformer.h.23.mlp.c_fc,24
transformer.h.5.mlp.c_fc,22
transformer.h.2.mlp.c_fc,21
transformer.h.6.mlp.c_fc,19
transformer.h.22.mlp.c_fc,19
transformer.h.1.mlp.c_fc,23
transformer.h.7.mlp.c_fc,19
transformer.h.21.mlp.c_fc,19
transformer.h.8.mlp.c_fc,19
transformer.h.20.mlp.c_fc,19
transformer.h.4.attn.c_attn,112
transformer.h.19.mlp.c_fc,19
transformer.h.14.mlp.c_proj,19
transformer.h.18.mlp.c_fc,19
transformer.h.3.attn.c_attn,94
transformer.h.17.mlp.c_fc,19
transformer.h.9.mlp.c_fc,19
transformer.h.16.mlp.c_fc,19
transformer.h.11.mlp.c_fc,19
transformer.h.15.mlp.c_fc,19
transformer.h.13.mlp.c_fc,19
transformer.h.14.mlp.c_fc,19
transformer.h.10.mlp.c_fc,19
transformer.h.12.mlp.c_fc,21
transformer.h.5.attn.c_attn,109
transformer.h.0.mlp.c_fc,20
transformer.h.13.mlp.c_proj,20
transformer.h.2.attn.c_attn,106
transformer.h.12.mlp.c_proj,20
transformer.h.6.attn.c_attn,102
transformer.h.11.mlp.c_proj,19
transformer.h.13.attn.c_attn,100
transformer.h.8.attn.c_attn,100
transformer.h.10.attn.c_attn,100
transformer.h.23.attn.c_attn,100
transformer.h.7.attn.c_attn,99
transformer.h.12.attn.c_attn,99
transformer.h.10.mlp.c_proj,19
transformer.h.22.attn.c_attn,52
transformer.h.21.attn.c_attn,47
transformer.h.18.attn.c_attn,80
transformer.h.16.attn.c_attn,60
transformer.h.9.attn.c_attn,68
transformer.h.14.attn.c_attn,42
transformer.h.17.attn.c_attn,98
transformer.h.20.attn.c_attn,98
transformer.h.19.attn.c_attn,97
transformer.h.11.attn.c_attn,97
transformer.h.15.attn.c_attn,97
transformer.h.9.mlp.c_proj,19
transformer.h.7.mlp.c_proj,19
transformer.h.1.attn.c_attn,93
transformer.h.4.mlp.c_proj,19
transformer.h.3.mlp.c_proj,19
transformer.h.5.mlp.c_proj,19
transformer.h.6.mlp.c_proj,19
transformer.h.8.mlp.c_proj,19
transformer.h.0.mlp.c_proj,19
transformer.h.2.mlp.c_proj,19
transformer.h.1.mlp.c_proj,20
transformer.h.23.attn.c_proj,76
transformer.h.22.attn.c_proj,69
transformer.h.21.attn.c_proj,64
transformer.h.20.attn.c_proj,61
transformer.h.19.attn.c_proj,60
transformer.h.18.attn.c_proj,56
transformer.h.17.attn.c_proj,55
transformer.h.16.attn.c_proj,54
transformer.h.15.attn.c_proj,52
